architecture,comparison,candidate_component,reference_component,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,brier,-0.02378591131351003,-0.028065759366006603,-0.0195209818248967,5000,0.95,3,"[0.016002887723259807, -0.03666007652706564, -0.05070054513672426]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,ece,-0.02480491206177282,-0.028810619467344034,-0.02044797786790084,5000,0.95,3,"[0.01957481946700651, -0.04449488566471979, -0.04949466998760518]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,auroc,-0.006176492073927897,-0.010729509094893716,-0.001820759368836245,5000,0.95,3,"[-0.01465044926583381, -0.008141573526188828, 0.004262546570238945]",False
ResNet50,CBAM-only minus C0,CBAM-only,C0,auprc,-0.0064462303997322445,-0.01257717979069972,-0.0003761998951003683,5000,0.95,3,"[-0.012371638961389042, -0.01368356555734973, 0.006716513319542039]",False
ResNet50,CBAM-only minus C0,CBAM-only,C0,accuracy,0.030982905982905984,0.019764957264957306,0.04166666666666663,5000,0.95,3,"[-0.027243589743589758, 0.09134615384615385, 0.028846153846153855]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,balanced_accuracy,0.0421652421652422,0.02777777777777779,0.05584045584045586,5000,0.95,3,"[-0.035470085470085344, 0.12350427350427351, 0.038461538461538436]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,sensitivity,-0.002564102564102555,-0.006837606837606813,0.0017094017094017033,5000,0.95,3,"[-0.002564102564102555, -0.00512820512820511, 0.0]",False
ResNet50,CBAM-only minus C0,CBAM-only,C0,specificity,0.08689458689458691,0.0584045584045584,0.11396011396011395,5000,0.95,3,"[-0.06837606837606836, 0.25213675213675213, 0.07692307692307698]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,precision,0.032881094589895965,0.0216026671320901,0.043435745083630274,5000,0.95,3,"[-0.028044221177268347, 0.09545986150726538, 0.031227643439690866]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,npv,-0.005094921907161061,-0.016150965693443396,0.005642561076040604,5000,0.95,3,"[-0.008320793130919713, -0.008548479632817019, 0.0015845070422535468]",False
ResNet50,CBAM-only minus C0,CBAM-only,C0,f1,0.019232935744686874,0.012174444872328776,0.02601914125739005,5000,0.95,3,"[-0.017908301769370194, 0.056850260497747884, 0.018756848505682933]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,brier,-0.012115985356026177,-0.01592892814973793,-0.008105665021122331,5000,0.95,3,"[-0.008183115893165754, -0.010630850085875942, -0.017533990089036833]",True
ResNet50,CBAM-only minus C0,CBAM-only,C0,ece,-0.014910382083338522,-0.018874012405036843,-0.011073220845980537,5000,0.95,3,"[-0.018761506447425275, -0.00968892757709211, -0.01628071222549818]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,auroc,-0.0003652567755132082,-0.004149773540799176,0.0033788078018846825,5000,0.95,3,"[0.006892395353933822, -0.008371685294762288, 0.00038351961428884085]",False
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,auprc,-0.0009254919703740594,-0.0045446332666956935,0.002482813203656939,5000,0.95,3,"[0.005214047559276569, -0.00877243073304157, 0.0007819072626428225]",False
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,accuracy,0.018696581196581203,0.009081196581196624,0.02831196581196586,5000,0.95,3,"[-0.0064102564102563875, 0.03685897435897434, 0.02564102564102566]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,balanced_accuracy,0.025783475783475802,0.013675213675213661,0.03846153846153847,5000,0.95,3,"[-0.008547008547008517, 0.050000000000000044, 0.03589743589743588]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,sensitivity,-0.002564102564102555,-0.006837606837606851,0.0017094017094017033,5000,0.95,3,"[0.0, -0.002564102564102555, -0.00512820512820511]",False
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,specificity,0.0541310541310542,0.029914529914529937,0.07834757834757837,5000,0.95,3,"[-0.017094017094017033, 0.10256410256410264, 0.07692307692307698]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,precision,0.01977975610377399,0.010470244324230592,0.029452005906008917,5000,0.95,3,"[-0.007086110857455918, 0.03590679678297559, 0.030518582385802295]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,npv,-0.005598813994051821,-0.017112527347123773,0.005542251855795974,5000,0.95,3,"[-0.0003287851389117691, -0.00586080586080584, -0.010606850982437854]",False
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,f1,0.011307006854870552,0.005175220892507741,0.01772176444328329,5000,0.95,3,"[-0.004216474679417548, 0.021942465739786643, 0.016195029504242564]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,brier,-0.006700885451419498,-0.010482206664957635,-0.003012232425200058,5000,0.95,3,"[-0.010692016820823283, 0.00936176777360323, -0.01877240730703844]",True
ResNet50,mask-loss-only minus C0,mask-loss-only,C0,ece,-0.007725134874001532,-0.011255808671315466,-0.003961037723427205,5000,0.95,3,"[-0.008669853210449219, 0.007603284640189889, -0.022108836051745268]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,auroc,0.0031686025275769656,-0.00035808861129374366,0.006885364161005209,5000,0.95,3,"[0.004147490685952326, 0.0017751479289941363, 0.0035831689677844336]",False
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,auprc,0.001384441053284576,-0.002715655426705285,0.005648167637523374,5000,0.95,3,"[0.00094259525296847, -0.0005622418148322206, 0.0037729697217174785]",False
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,accuracy,0.01282051282051285,0.0032051282051282306,0.022435897435897467,5000,0.95,3,"[-0.0016025641025640969, 0.012820512820512886, 0.027243589743589758]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,balanced_accuracy,0.0165242165242165,0.003988603988603974,0.02948717948717942,5000,0.95,3,"[-0.002991452991452981, 0.017094017094017144, 0.035470085470085344]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,sensitivity,0.0017094017094017033,0.0,0.004273504273504258,5000,0.95,3,"[0.002564102564102555, 0.0, 0.002564102564102555]",False
